Title,Author,Year
Working with emotional intelligence,Daniel Goleman,1998
The Riddle of the Sands,Erskine Childers,1903
Stuart Little,E. B. White,1945
The Joy Luck Club,"Amy Tan, Gwendoline Yeo, Tsai Chin, Ronald Bass, Wayne Wang, and Jordi Fibla",1989
The Girl Next Door,Jack Ketchum,1989
The Club of Queer Trades,Gilbert Keith Chesterton and H. H Sign,1900
By Love Bewitched,Violet Winspear,1984
The Secret Agent: A Simple Tale,Joseph Conrad,1907
The Woman in White: Grangerized Edition,Wilkie Collins,1860
Discovering art history,Gerald F. Brommer,1981
Diary of a Wimpy Kid Party Pooper,Jeff Kinney,2025
The Parenti Marriage: The Reluctant Surrender / The Dutiful Wife,Penny Jordan,2014
Psychology: understanding behavior,Robert A. Baron,1977
The Body: A Guide for Occupants,Bill Bryson,2019
Love Lessons,Jacqueline Wilson,2005
Nausea,Jean-Paul Sartre,1938
The Mirror crack'd from side to side.,Agatha Christie,1960
The Tragedy of Romeo and Juliet,William Shakespeare,1597
Invertebrate Zoology: A Functional Evolutionary Approach,"Edward E. Ruppert, Richard S. Fox, and Robert D. Barnes",2003
Biology,Neil Alexander Campbell,1987
Becoming attached: unfolding the mystery of the infant-mother bond and its impact on later life,Robert Karen,1990
It,Stephen King,1986
The Sun and the Star: A Nico di Angelo Adventure,Rick Riordan and Mark Oshiro,2023
Temporary Bride,P. Wilson and Patricia Wilson,1988
Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,2016
An abundance of Katherines,John Green,2006
Frog and Toad Are Friends,Arnold Lobel,1920
Feel the fear and do it anyway,Susan J. Jeffers,1987
Wireless Communications: Principles and Practice (2nd Edition),Theodore S. Rappaport and Theodore Rappaport,1996
Captain Underpants and the attack of the talking toilets: another epic novel,Dav Pilkey,1996
"Daniel Kahneman's Thinking, Fast and Slow",Jacqueline Allan,2018
The Price of a Bride,Michelle Reid,1998
All the Bright Places: A Novel,Jennifer Niven,2015
The Joy of Living: Unlocking the Secret and Science of Happiness,Rinpoche Yongey Mingyur and Eric Swanson,2007
Stages of faith: the psychology of human development and the quest for meaning,James W. Fowler,1981
Contemporary Public Speaking,Pat Gehrke and Megan Foley,2023
Taking charge of adult ADHD,Russell Barkley and Christine M. Benton,2010
"Secularism, nationalism, and modernity",Akeel Bilgrami,1995
"Communication theories: perspectives, processes, and contexts",Katherine Miller,2001
Lao ren yu hai: The old man and the sea,Ernest Hemingway,1952
Infinite Jest,David Foster Wallace,1996
This Thing Called love,Deblina Bhattacharya,2024
"Manuals of emergency legislation.: Food supply manual, rev, to July 31st, 1918, comprising the food controller's powers and orders, and orders of other departments ancillary thereto.",Great Britain.,1691
The Earl and the Heiress,Barbara Metzger,1982
The Mysterious Island,Jules Verne,1870
The war of the worlds,H. G. Wells,N/A
Little Birds: Erotica,Anaïs Nin,1979
Dinotopia: A Land Apart From Time,James Gurney,1992
Black Beauty: the autobiography of a horse,Anna Sewell,1877
The Never King,Nikki St. Crowe,2022
Pilgrimages to Saint Mary of Walsingham and Saint Thomas of Canterbury,Desiderius Erasmus,1519
"Scientific writing and communication: papers, proposals, and presentations",Angelika H. Hofmann,2010
Thinner,Stephen King,1984
Return to Wallaby Creek,Kerry Allyne,1985
Alfred Hitchcock - A Definitive Study,"François Truffaut, Alfred Hitchcock, and Helen G. Scott",1966
Forever Yours,Jeanne Carmichael,1995
The tragedy of Great Power politics,John J. Mearsheimer,2001
The Jungle,Upton Sinclair,1707
An Approach to environmental psychology,Albert Mehrabian and James A. Russell,1974
"Psychic Witch: A Metaphysical Guide to Meditation, Magick and Manifestation",Mat Auryn,2020
The House of Hades,Rick Riordan,2013
"Relativity, the special and the general theory: a popular exposition.",Albert Einstein,1917
Purgatory and Paradise,Dante Alighieri,1768
Trump: The Art of the Deal,Tony Schwartz and Donald Trump,1987
The Club Dumas,Arturo Pérez-Reverte,1993
Dog Man: an epic novel,Dav Pilkey,2015
The Moving Finger,Agatha Christie,1942
Doctor Sleep,Stephen King and José Óscar Hernández Sendin,2013
Mechanics of engineering materials,"P. P. Benham, P.P. Benham, R.J. Crawford, and C.G. Armstrong",1987
Her Body and Other Parties: Stories,Carmen Maria Machado,2017
Black Market,James Patterson,1986
Calculus,Michael Spivak,2008
Soil Capability For Agriculture: Melfort 73 A.,Canada Land Inventory.,1965
Orientalism,Edward W. Said,1978
"Sermons preached at the lecture in Boston, from Luke XI, 21, 22: Shewing I. That the soul of man is a noble palace which the great God built for himself. II. That it is now become as a garison or strong hold, which Satan keeps against God. III. That there is a wretched peace and cursed quiet, which the carnal heart lies in under Satans tyranny. IV. That the victorious Saviour rescues whom he pleases, and will rescue all his chosen, from Satans power and tyranny. : To which is added, a discourse from Psalm CXXII. I. I was glad when they said unto me, let me go unto the House of the Lord",Benjamin Colman,1717
Snowfire.,Dana James,1988
Basic concepts in sociology,Max Weber,1922
"How to Be Disciplined: The Beginner's Guide to Discovering How to Manage Time, Become More Productive, Overcome Procrastination, and Focus on the Things That Matter Most in Life",Sheldon Howe,2022
Pimp: the story of my life,"Iceberg Slim, Beck, Robert, and Irvine Welsh",1967
The Scotsman and the spinster,Carolyn Madison,2000
"Think & Trade Like a Champion: The Secrets, Rules & Blunt Truths of a Stock Market Wizard",Mark Minervini,2017
Wolves of the Calla,Stephen King,2003
The Illustrated Man,Ray Bradbury,1901
"Essentials of Geology, Global Edition","Frederick K. Lutgens, Edward J. Tarbuck, Dennis Tasa, Dennis G. Tasa, K. Elayn Martin-Gay, and Addison Wesley Higher Education Staff",1982
Seven Pillars of Wisdom,T. E. Lawrence,1905
Persepolis I & II,Marjane Satrapi,2000
Reminders of Him: A Novel,Colleen Hoover,2022
Fundamentals of ecology,"Eugene Pleasants Odum, Eugene Odum, and Gary W. Barrett",1953
The art of violin playing,Carl Flesch,1924
The Long Goodbye,Raymond Chandler,1953
When Things Fall Apart: Heart Advice for Difficult Times,Pema Chödrön,1996
Dark moon rising,Dana James,1989
The undercover economist,Tim Harford,2012
An echo in the darkness,Francine Rivers,1994
The Crying of Lot 49,Thomas Pynchon,1965
Growth of the Soil: Volume Two,Knut Hamsun and William John Alexander Worster,1917
Black dog guy and not black cat kid: Race,Dav Pilkey,2002
Love and Freindship,Jane Austen,1995
Diary of a Young Girl,Anne Frank,2001
Silent messages.,Albert Mehrabian,1971
Child of the Dark: The Diary of Carolina Maria de Jesus,Carolina Maria de Jesus,1960
Fall I Want: A Novel,Lyra Parish,2024
No Other Will Do,Karen Witemeyer,2016
Virgil's Aeneid: with explanatory notes.,Publius Vergilius Maro,1710
"YouTube Formula: How Anyone Can Unlock the Algorithm to Drive Views, Build an Audience, and Grow Revenue",Derral Eves,2021
Curtain of Stars,Patricia Wilson,1990
Company law in Ghana,P. Ebow Bondzi-Simpson,2009
A Gentleman in Moscow,Amor Towles,2016
Perfume,Patrick Süskind,1985
I Know Why the Caged Bird Sings,Maya Angelou,1969
The Human Brain,Isaac Asimov,1963
Book of Enoch: New American Translation,R.H. Charles and Enoch The Prophet,2013
"A history of the Luo-Abasuba of western Kenya, from A.D. 1760-1940",H. Okello Ayot,1979
Without Trust,Penny Jordan,1988
Howl's Moving Castle,Diana Wynne Jones,1986
Elevation,Stephen King,2018
Letters to Martha: and other poems from a South African prison.,Dennis Brutus,1968
The Wicked King,Holly Black and LAIPENG,2019
Harvey's hideout,Russell Hoban,1969
Organic Chemistry: with infotrac,John E. McMurry,1984
Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss and Tahl Raz,2016
Phantastes: A Faerie Romance for Men and Women,George MacDonald,1850
Just for fun: the story of an accidental revolutionary,Linus Torvalds and David Diamond - undifferentiated,2001
Toward a theory of instruction,Jerome S. Bruner,1966
The Alchemist: A Graphic Novel,Paulo Coelho,2010
Games People Play.,Eric Berne,1964
Jane Eyre,Charlotte Brontë,1847
Stranger Things: Rebel Robin,A. R. Capetta,2021
A Portrait of the Artist as a Young Man,James Joyce,1818
Thrawn,Timothy Zahn and Albert Agut Iglesias,2017
Kamasutra,Sudhir Kakar,2003
The black swan: the impact of the highly improbable,"Nassim Nicholas Taleb, David Chandler, and Nassim N. Taleb",2005
Leadership in Organizations: International Edition,"Gary A. Yukl, Gary A. Yukl, and Gary Yukl",1981
The widow's broom,Chris Van Allsburg,1992
Bought with His Name,Penny Jordan,1982
The Structure of Scientific Revolutions,Thomas S. Kuhn and Dennis Holland,1955
Circe,Madeline Miller,2018
The Dark Half,Stephen King,1989
Innocent Ereédira and Other Stories,Gabriel García Márquez,1972
The camp of the saints,Jean Raspail,1975
Your Fault,Mercedes Ron,2016
Vow of Deception,Rina Kent,2021
The Toyota way: 14 management principles from the world's greatest manufacturer,Jeffrey K. Liker,2004
Satan's Affair,H. D. Carlton,2021
Little House in the Big Woods,Laura Ingalls Wilder and Garth Williams,1932
The Murder of Roger Ackroyd,Agatha Christie,1926
Horolovar 400-day clock repair guide,Charles Terwilliger ISBN 0-916316-04-1,1956
Wizard and Glass,Stephen King,1997
Comfort herself,Geraldine Kaye,1984
Essential Maths,Sean McArdle,1996
Sidetracked Home Executives: From Pigpen to Paradise,"Young, Pam, Pam Young, and Peggy Jones",1980
The sorrows of Werter.: From the German of Geothe.  With an introd. by Henry Morley.,Johann Wolfgang von Goethe,1779
Funny Story,Emily Henry,2024
The antecedents of self-esteem.,Stanley Coopersmith and Stanley Coopersmith,1967
Man and his symbols,Carl Gustav Jung,1964
Digital literacy,Paul Gilster,1997
The Art of Frugal Hedonism: A Guide to Spending Less While Enjoying Everything More,Annie Raser-Rowland,2016
The First Men in the Moon,H. G. Wells,1900
The Big Sleep,Raymond Chandler,1939
Untitled,"Ann Ehrlich, Carol L. Schroeder, and Ann Roe-Hafer",1988
Five children and it,Edith Nesbit,1905
How to do things with words,J. L. Austin,1962
The goldfinch: a novel,Donna Tartt and Katia Benovich,2013
Three Novels,Stephen King,1984
The word for world is forest,Ursula K. Le Guin,1972
The Comedy of Errors,William Shakespeare,1734
Flowers for Algernon,Daniel Keyes,1966
The mis-education of the Negro,Carter Godwin Woodson,1933
Walk Two Moons,Sharon Creech,1994
"Balkans: Nationalism, War, and the Great Powers, 1804-2012",Misha Glenny,2000
Fox in socks,Dr. Seuss,1965
Student Companion With Complete Solutions for an Introduction to Genetic Analysis,"Anthony J. F. Griffiths, Susan R. Wessler, Richard C. Lewontin, William M. Gelbart, David T. Suzuki, and Jeffrey H. Miller",1993
Physics for scientists and engineers,Paul A. Tipler and Gene Mosca,1990
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoglu and James A. Robinson,2012
Dearly devoted Dexter: a novel,"Jeffry P. Lindsay and Lindsay, Jeffry P./ Murillo, Eduardo G. ...",2005
Solar Storms: A Novel,"Linda Hogan, Ben Hogan, and Linda Hogan",1994
Katie Mulholland,Catherine Cookson,1967
Never Never,Colleen Hoover and Tarryn Fisher,2018
Looking awry: an introduction to Jacques Lacan through popular culture,Slavoj Žižek,1991
Concepts of modern physics.,Arthur Beiser,1963
Giovanni and Lusanna: love and marriage in Renaissance Florence,Gene Brucker,1986
Democracy and education: an introduction to the philosophy of education,John Dewey,1916
Leadership and performance beyond expectations,Bernard M. Bass,1985
Мастер и Маргарита,Михаил Афанасьевич Булгаков,1966
Bond of Vengeance: Harlequin Presents #749,Jessica Steele,1984
El coronel no tiene quien le escriba,Gabriel García Márquez and Luisa Rivera,1961
Horus Rising: The seeds of heresy are sown,Dan Abnett,2006
Spy and the Traitor: The Greatest Espionage Story of the Cold War,Ben Macintyre and Efrén del Valle,2018
Children's Missionary Library,Vernon Linwood Howard and Alice Bostrom,1949
The Jungle Book,Rudyard Kipling,1893
"The greater Key of Solomon: including a clear and precise exposition of King Solomon's secret procedure, its mysteries and magic rites : original plates, seals, charms and talismans : translated from the ancient manuscripts in the British Museum, London",King Solomon,1914
If I Ran the Zoo (Dr Seuss Yellow Back Book),Dr. Seuss,1950
Newmarket Match,Anita Mills,1989
"When You're Ready, This Is How You Heal",Brianna Wiest,2022
"Applied mathematics for business, economics, and the social sciences",Frank S. Budnick,1979
Journey Of Souls: Case Studies of Life Between Lives,Michael Newton,1997
Chemistry: the central science,"Theodore L. Brown, H. Eugene Lemay, Bruce E. Bursten, Catherine Murphy, and Patrick Woodward",1977
1st to Die: A Novel,James Patterson,2001
Eleanor Oliphant Is Completely Fine,Gail Honeyman,2017
"The reign of greed: a complete English version of El Filibusterismo, from the Spanish of José Rizal",José Rizal,1900
War Horse,Michael Morpurgo and Mercè Santaularia Campillo,1982
"Poetry, language, thought",Martin Heidegger,1927
Chronicle of a death foretold,Gabriel García Márquez,1980
Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,1996
"Bauhaus, 1919-1933",Magdalena Droste and Bauhaus Archiv,1990
Psycho Cybernetics,"Maxwell Maltz, Maxwell maltz, M. Maltz, Maxwell Maltz, Maltz, Maxwell, M.D., F.I.C.S., and Naxwell Maltz",1960
Dog Man and Cat Kid,Dav Pilkey,2017
"The people's Marx: abridged popular edition of the three volumes of ""Capital""",Karl Marx,1867
Themes in Greek Society and Culture: An Introduction,Allison Glazebrook and Christina Vester,2017
The Bonded Heart,Betsy Page,1984
ADHD 2. 0: New Science and Essential Strategies for Thriving with Distraction--From Childhood Through Adulthood,Edward M. Hallowell and John J. Ratey,2021
Quiet: The Power of Introverts in a World That Can't Stop Speaking,Susan Cain,2012
Fight Club,"Chuck Palahniuk, James Colby, Javier Calvo Perales, and Jordi Cussà Balaguer",1996
Coraline,Neil Gaiman,2001
The razor's edge: a novel,William Somerset Maugham,1944
Kafka on the Shore,村上春樹,2001
Fluent forever: how to learn any language fast and never forget it,Gabriel Wyner,2014
Coaching for performance,"Whitmore, John Sir",1992
Dream Psychology: Psychoanalysis for Beginners,Sigmund Freud,2017
You Like It Darker,Stephen King,2024
